codigoVuelo,asiento,clase,estado,cedula,precio
VF101,1A,PRIMERA,LIBRE,,143.98
VF101,1B,PRIMERA,LIBRE,,143.98
VF101,1C,PRIMERA,LIBRE,,143.98
VF101,1D,PRIMERA,LIBRE,,143.98
VF101,1E,PRIMERA,LIBRE,,143.98
VF101,1F,PRIMERA,LIBRE,,143.98
VF101,2A,PRIMERA,LIBRE,,143.98
VF101,2B,PRIMERA,LIBRE,,143.98
VF101,2C,PRIMERA,LIBRE,,143.98
VF101,2D,PRIMERA,LIBRE,,143.98
VF101,2E,PRIMERA,LIBRE,,143.98
VF101,2F,PRIMERA,LIBRE,,143.98
VF101,3A,PRIMERA,LIBRE,,143.98
VF101,3B,PRIMERA,LIBRE,,143.98
VF101,3C,PRIMERA,LIBRE,,143.98
VF101,3D,PRIMERA,LIBRE,,143.98
VF101,3E,PRIMERA,LIBRE,,143.98
VF101,3F,PRIMERA,LIBRE,,143.98
VF101,4A,TURISTA,LIBRE,,89.99
VF101,4B,TURISTA,LIBRE,,89.99
VF101,4C,TURISTA,LIBRE,,89.99
VF101,4D,TURISTA,LIBRE,,89.99
VF101,4E,TURISTA,LIBRE,,89.99
VF101,4F,TURISTA,LIBRE,,89.99
VF101,5A,TURISTA,LIBRE,,89.99
VF101,5B,TURISTA,LIBRE,,89.99
VF101,5C,TURISTA,LIBRE,,89.99
VF101,5D,TURISTA,LIBRE,,89.99
VF101,5E,TURISTA,LIBRE,,89.99
VF101,5F,TURISTA,LIBRE,,89.99
VF101,6A,TURISTA,LIBRE,,89.99
VF101,6B,TURISTA,LIBRE,,89.99
VF101,6C,TURISTA,LIBRE,,89.99
VF101,6D,TURISTA,LIBRE,,89.99
VF101,6E,TURISTA,LIBRE,,89.99
VF101,6F,TURISTA,LIBRE,,89.99
VF101,7A,TURISTA,LIBRE,,89.99
VF101,7B,TURISTA,LIBRE,,89.99
VF101,7C,TURISTA,LIBRE,,89.99
VF101,7D,TURISTA,LIBRE,,89.99
VF101,7E,TURISTA,LIBRE,,89.99
VF101,7F,TURISTA,LIBRE,,89.99
VF101,8A,TURISTA,LIBRE,,89.99
VF101,8B,TURISTA,LIBRE,,89.99
VF101,8C,TURISTA,LIBRE,,89.99
VF101,8D,TURISTA,LIBRE,,89.99
VF101,8E,TURISTA,LIBRE,,89.99
VF101,8F,TURISTA,LIBRE,,89.99
VF101,9A,TURISTA,LIBRE,,89.99
VF101,9B,TURISTA,LIBRE,,89.99
VF101,9C,TURISTA,LIBRE,,89.99
VF101,9D,TURISTA,LIBRE,,89.99
VF101,9E,TURISTA,LIBRE,,89.99
VF101,9F,TURISTA,LIBRE,,89.99
VF101,10A,TURISTA,LIBRE,,89.99
VF101,10B,TURISTA,LIBRE,,89.99
VF101,10C,TURISTA,LIBRE,,89.99
VF101,10D,TURISTA,LIBRE,,89.99
VF101,10E,TURISTA,LIBRE,,89.99
VF101,10F,TURISTA,LIBRE,,89.99
VF101,11A,TURISTA,LIBRE,,89.99
VF101,11B,TURISTA,LIBRE,,89.99
VF101,11C,TURISTA,LIBRE,,89.99
VF101,11D,TURISTA,LIBRE,,89.99
VF101,11E,TURISTA,LIBRE,,89.99
VF101,11F,TURISTA,LIBRE,,89.99
VF101,12A,TURISTA,LIBRE,,89.99
VF101,12B,TURISTA,LIBRE,,89.99
VF101,12C,TURISTA,LIBRE,,89.99
VF101,12D,TURISTA,LIBRE,,89.99
VF101,12E,TURISTA,LIBRE,,89.99
VF101,12F,TURISTA,LIBRE,,89.99
VF101,13A,TURISTA,LIBRE,,89.99
VF101,13B,TURISTA,LIBRE,,89.99
VF101,13C,TURISTA,LIBRE,,89.99
VF101,13D,TURISTA,LIBRE,,89.99
VF101,13E,TURISTA,LIBRE,,89.99
VF101,13F,TURISTA,LIBRE,,89.99
VF101,14A,TURISTA,LIBRE,,89.99
VF101,14B,TURISTA,LIBRE,,89.99
VF101,14C,TURISTA,LIBRE,,89.99
VF101,14D,TURISTA,LIBRE,,89.99
VF101,14E,TURISTA,LIBRE,,89.99
VF101,14F,TURISTA,LIBRE,,89.99
VF101,15A,TURISTA,LIBRE,,89.99
VF101,15B,TURISTA,LIBRE,,89.99
VF101,15C,TURISTA,LIBRE,,89.99
VF101,15D,TURISTA,LIBRE,,89.99
VF101,15E,TURISTA,LIBRE,,89.99
VF101,15F,TURISTA,LIBRE,,89.99
VF101,16A,TURISTA,LIBRE,,89.99
VF101,16B,TURISTA,LIBRE,,89.99
VF101,16C,TURISTA,LIBRE,,89.99
VF101,16D,TURISTA,LIBRE,,89.99
VF101,16E,TURISTA,LIBRE,,89.99
VF101,16F,TURISTA,LIBRE,,89.99
VF101,17A,TURISTA,LIBRE,,89.99
VF101,17B,TURISTA,LIBRE,,89.99
VF101,17C,TURISTA,LIBRE,,89.99
VF101,17D,TURISTA,LIBRE,,89.99
VF101,17E,TURISTA,LIBRE,,89.99
VF101,17F,TURISTA,LIBRE,,89.99
VF101,18A,TURISTA,LIBRE,,89.99
VF101,18B,TURISTA,LIBRE,,89.99
VF101,18C,TURISTA,LIBRE,,89.99
VF101,18D,TURISTA,LIBRE,,89.99
VF101,18E,TURISTA,LIBRE,,89.99
VF101,18F,TURISTA,LIBRE,,89.99
VF101,19A,TURISTA,LIBRE,,89.99
VF101,19B,TURISTA,LIBRE,,89.99
VF101,19C,TURISTA,LIBRE,,89.99
VF101,19D,TURISTA,LIBRE,,89.99
VF101,19E,TURISTA,LIBRE,,89.99
VF101,19F,TURISTA,LIBRE,,89.99
VF101,20A,TURISTA,LIBRE,,89.99
VF101,20B,TURISTA,LIBRE,,89.99
VF101,20C,TURISTA,LIBRE,,89.99
VF101,20D,TURISTA,LIBRE,,89.99
VF101,20E,TURISTA,LIBRE,,89.99
VF101,20F,TURISTA,LIBRE,,89.99
VF101,21A,TURISTA,LIBRE,,89.99
VF101,21B,TURISTA,LIBRE,,89.99
VF101,21C,TURISTA,LIBRE,,89.99
VF101,21D,TURISTA,LIBRE,,89.99
VF101,21E,TURISTA,LIBRE,,89.99
VF101,21F,TURISTA,LIBRE,,89.99
VF101,22A,TURISTA,LIBRE,,89.99
VF101,22B,TURISTA,LIBRE,,89.99
VF101,22C,TURISTA,LIBRE,,89.99
VF101,22D,TURISTA,LIBRE,,89.99
VF101,22E,TURISTA,LIBRE,,89.99
VF101,22F,TURISTA,LIBRE,,89.99
VF101,23A,TURISTA,LIBRE,,89.99
VF101,23B,TURISTA,LIBRE,,89.99
VF101,23C,TURISTA,LIBRE,,89.99
VF101,23D,TURISTA,LIBRE,,89.99
VF101,23E,TURISTA,LIBRE,,89.99
VF101,23F,TURISTA,LIBRE,,89.99
VF101,24A,TURISTA,LIBRE,,89.99
VF101,24B,TURISTA,LIBRE,,89.99
VF101,24C,TURISTA,LIBRE,,89.99
VF101,24D,TURISTA,LIBRE,,89.99
VF101,24E,TURISTA,LIBRE,,89.99
VF101,24F,TURISTA,LIBRE,,89.99
VF101,25A,TURISTA,LIBRE,,89.99
VF101,25B,TURISTA,LIBRE,,89.99
VF101,25C,TURISTA,LIBRE,,89.99
VF101,25D,TURISTA,LIBRE,,89.99
VF101,25E,TURISTA,LIBRE,,89.99
VF101,25F,TURISTA,LIBRE,,89.99
VF101,26A,TURISTA,LIBRE,,89.99
VF101,26B,TURISTA,LIBRE,,89.99
VF101,26C,TURISTA,LIBRE,,89.99
VF101,26D,TURISTA,LIBRE,,89.99
VF101,26E,TURISTA,LIBRE,,89.99
VF101,26F,TURISTA,LIBRE,,89.99
VF101,27A,TURISTA,LIBRE,,89.99
VF101,27B,TURISTA,LIBRE,,89.99
VF101,27C,TURISTA,LIBRE,,89.99
VF101,27D,TURISTA,LIBRE,,89.99
